party_size,private_hand_size,total_dealt,total,method,samples,seed,small_shared_hand_cards,small_shared_hand_exact_ability_probability,private_any_character_probability,private_any_ci95_low,private_any_ci95_high,private_all_characters_probability,private_all_ci95_low,private_all_ci95_high,private_mean_capable_characters,equal_budget_pool_cards,equal_budget_pool_ability_probability,pool_ci95_low,pool_ci95_high
3,4,12,2,monte_carlo,10000,20261219,4,0.025712438821682518,0.0763,0.07125780227190767,0.0816676099017517,0,0,0.00038401247776654115,0.0769,12,0.2251,0.21702055210209195,0.23339057795818405
3,4,12,3,monte_carlo,10000,20261219,4,0.06461538461538462,0.1923,0.1846942333590504,0.2001420879197671,0.0001,0.00001765221952685649,0.0005662834557441313,0.2017,12,0.4474,0.43767642888865277,0.45716396922400826
3,4,12,4,monte_carlo,10000,20261219,4,0.09292824822236587,0.2599,0.2513971990468351,0.26858720374498835,0.0003,0.00010203035287762114,0.0008817517174022601,0.2802,12,0.6079,0.5982912244835041,0.6174259056237938
3,4,12,5,monte_carlo,10000,20261219,4,0.13380367531628035,0.3537,0.3443867097640538,0.36312565228694066,0.0014,0.0008341542630379929,0.0023487829797908017,0.3981,12,0.7355,0.7267658465387848,0.7440532835841872
3,4,12,6,monte_carlo,10000,20261219,4,0.16448425524055776,0.4261,0.4164378288989715,0.43581892814524226,0.0029,0.002019983350543452,0.004161801854852043,0.4932,12,0.8273,0.8197661099184095,0.8345825155136446
3,4,12,7,monte_carlo,10000,20261219,4,0.207354326345923,0.5131,0.5033002134739409,0.5228897253991415,0.0057,0.004402395036688564,0.007377239698831437,0.6241,12,0.8944,0.888224228526609,0.9002728624309287
3,4,12,8,monte_carlo,10000,20261219,4,0.24093083387201034,0.5626,0.5528549091995201,0.5722970124382636,0.0109,0.009044443879129442,0.013131197126621787,0.7125,12,0.9375,0.9325855267012678,0.9420784623806865
3,4,12,9,monte_carlo,10000,20261219,4,0.2855628405208237,0.6436,0.6341593641119627,0.6529303475044226,0.02,0.01743466771336601,0.022933984265289867,0.8618,12,0.9679,0.964261506467248,0.9711791346560581
3,4,12,10,monte_carlo,10000,20261219,4,0.32236771631729616,0.6911,0.6819720764392797,0.7000811539917179,0.0285,0.025415296293569353,0.03194682747296449,0.9515,12,0.9814,0.9785610916153655,0.9838691811710409
3,4,12,11,monte_carlo,10000,20261219,4,0.4798522485917444,0.8678,0.861019854155694,0.8742976662656609,0.1056,0.09972713756907119,0.11177577147339103,1.4433,12,0.9927,0.9908319209941793,0.9941896731102297
3,4,12,12,monte_carlo,10000,20261219,4,0.4745147289685105,0.8645,0.8576516209378832,0.8710684339658251,0.0974,0.0917422301269119,0.10336697672018569,1.421,12,0.9952,0.9936421476540959,0.9963775263879241
3,4,12,13,monte_carlo,10000,20261219,4,0.48042847908394126,0.8694,0.8626534279960055,0.8758628635854203,0.1059,0.100019490678081,0.11208318795689456,1.4484,12,0.9961,0.9946733274415094,0.9971456553780504
3,4,12,14,monte_carlo,10000,20261219,4,0.47057715393849847,0.8631,0.8562230775396352,0.8696980525990107,0.1033,0.09748627197469223,0.10941840352516774,1.4229,12,0.9968,0.9954861448401436,0.9977323003619475
3,4,12,15,monte_carlo,10000,20261219,4,0.46982362175639486,0.8565,0.8494916476420022,0.8632345514613502,0.0992,0.09349398061352943,0.1052138437886482,1.4052,12,0.9976,0.9964311979663745,0.9983866328157522
3,4,12,16,monte_carlo,10000,20261219,4,0.4559534583063995,0.8468,0.8396073923214162,0.8537262566240049,0.0869,0.08153632289682329,0.0925809482123074,1.3664,12,0.9978,0.9966710158356369,0.9985466613414986
3,4,12,17,monte_carlo,10000,20261219,4,0.4504940437713547,0.8359,0.8285120786815345,0.8430299417359017,0.0863,0.08095382197179961,0.09196390995230443,1.3488,12,0.9974,0.996192960451946,0.9982250239351717
3,4,12,18,monte_carlo,10000,20261219,4,0.4300674115800166,0.8273,0.8197661099184095,0.8345825155136446,0.0716,0.06670944474895048,0.07681957714199987,1.3001,12,0.9988,0.9979035066029937,0.9993134025491864
3,4,12,19,monte_carlo,10000,20261219,4,0.4183285621941084,0.8164,0.8086906929529749,0.8238663039510945,0.0724,0.06748320334072917,0.07764520413025676,1.2692,12,0.9986,0.9976512170202092,0.9991658457369621
3,4,12,20,monte_carlo,10000,20261219,4,0.5854981992797119,0.934,0.9289650903158356,0.938701586853463,0.1892,0.1816432160446792,0.19699548611150047,1.7453,12,1,0.9996159875222334,0.9999999999999999
3,4,12,21,monte_carlo,10000,20261219,4,0.3004561824729892,0.658,0.6486430733814789,0.667235578675547,0.0278,0.02475462223004598,0.031208039153956736,0.903,12,0.9982,0.9971562885411505,0.9988610814260028
