hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
11,2,2,0.19279711884753903,0.248868778280543,1.2908324552160169,0.026207406039338813,0.026207406039338813,exact
11,2,3,0.3788287192767949,0.6636500754147813,1.7518473168605755,0.19104415124051471,0.05020572521330456,exact
11,2,4,0.5118465448696958,0.9125188536953243,1.782797720999817,0.2442561982734707,0.09425270785981496,exact
11,2,5,0.6352715885743321,1.3273001508295625,2.089342849108476,0.3954270684061299,0.16369116022937236,exact
11,2,6,0.7230860231773731,1.5761689291101055,2.179780660375828,0.4582132997999863,0.22200896602793238,exact
11,2,7,0.8007172586996204,1.990950226244344,2.486458490326141,0.5851399820965093,0.3189379683335457,exact
11,2,8,0.8554890699691446,2.239819004524887,2.6181737244237047,0.645329653592293,0.3859473337772172,exact
11,2,9,0.9010047786976987,2.654600301659125,2.946266617471277,0.7429380719006619,0.4931942063197965,exact
11,2,10,0.9326662138562106,2.903469079939668,3.113084870883182,0.7929561523407435,0.5620995530579896,exact
11,2,11,0.9761891449481581,5.30920060331825,5.43870071777965,0.9329339695115418,0.8493692593034957,exact
11,2,12,0.9623092648794825,4.894419306184012,5.086118865120745,0.8981890501447394,0.8004246382879432,exact
11,2,13,0.9436924491034451,4.6455505279034695,4.922737839342652,0.8737098948277445,0.764031412137569,exact
11,2,14,0.9167241102395493,4.230769230769231,4.615095407127111,0.8221377188739794,0.708761488573029,exact
11,2,15,0.8834546775307986,3.981900452488688,4.507192676389302,0.7925995924989322,0.6685879287183424,exact
11,2,16,0.8360175556340703,3.5671191553544497,4.266799340893026,0.7238079054988354,0.6140735698329448,exact
11,2,17,0.7810896836679462,3.3182503770739067,4.248232240748104,0.693925936311451,0.5727971978625285,exact
11,2,18,0.7035369602523366,2.903469079939668,4.126960265027561,0.6105269584545735,0.5281981338024959,exact
11,2,19,0.6181199136712103,2.654600301659125,4.294636433718194,0.5884011655992991,0.4881003908565986,exact
11,2,20,0.9227233966902233,4.97737556561086,5.394222779507415,0.7356953138722818,0.7356953138722818,exact
11,2,21,0,0,,0,0,exact
11,2,22,0,0,,0,0,exact
11,2,23,0,0,,0,0,exact
11,2,24,0,0,,0,0,exact
11,2,25,0,0,,0,0,exact
11,2,26,0,0,,0,0,exact
11,2,27,0,0,,0,0,exact
11,2,28,0,0,,0,0,exact
11,2,29,0,0,,0,0,exact
11,2,30,0,0,,0,0,exact
11,2,31,0,0,,0,0,exact
11,2,32,0,0,,0,0,exact
11,2,33,0,0,,0,0,exact
11,2,34,0,0,,0,0,exact
11,2,35,0,0,,0,0,exact
11,2,36,0,0,,0,0,exact
11,2,37,0,0,,0,0,exact
11,2,38,0,0,,0,0,exact
11,2,39,0,0,,0,0,exact
11,2,40,0,0,,0,0,exact
11,2,41,0,0,,0,0,exact
11,2,42,0,0,,0,0,exact
11,2,43,0,0,,0,0,exact
11,2,44,0,0,,0,0,exact
11,2,45,0,0,,0,0,exact
11,2,46,0,0,,0,0,exact
11,2,47,0,0,,0,0,exact
11,2,48,0,0,,0,0,exact
11,2,49,0,0,,0,0,exact
11,2,50,0,0,,0,0,exact
