hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
4,3,2,0,0,,0,0,exact
4,3,3,0.0007129005448333179,0.0007239819004524887,1.0155440414507773,0.0000036937852063902484,0.0000036937852063902484,exact
4,3,4,0.004092714008680395,0.0043438914027149325,1.0613718411552346,0.00019207683073229291,0.000059100563302243975,exact
4,3,5,0.00818542801736079,0.008687782805429865,1.0613718411552346,0.00038415366146458583,0.00011820112660448795,exact
4,3,6,0.015325514821313141,0.01665158371040724,1.086526873945529,0.0012595807553790748,0.00006279434850863422,exact
4,3,7,0.022798042293840613,0.024615384615384615,1.0797148412184057,0.0016400406316372702,0.0001773016899067319,exact
4,3,8,0.03331794256164004,0.03619909502262444,1.0864745011086474,0.0027038507710776616,0.0001773016899067319,exact
4,3,9,0.04455074337427278,0.04850678733031674,1.0887986070806732,0.0037713546957244435,0.00018099547511312217,exact
4,3,10,0.05845045710591929,0.06371040723981901,1.089989888776542,0.005023547880690738,0.0002364022532089759,exact
4,3,11,0.07306307138239912,0.07963800904977375,1.089989888776542,0.006279434850863423,0.00029550281651121986,exact
4,3,12,0.10087358020131129,0.11221719457013575,1.1124537698194734,0.010922522855295965,0.00041739772832209807,exact
4,3,13,0.13050881891218025,0.14914027149321266,1.1427601041548738,0.018335949764521194,0.00029550281651121986,exact
4,3,14,0.15117924092714008,0.17375565610859728,1.1493354182955433,0.022103610675039246,0.0004728045064179518,exact
4,3,15,0.1740548527103149,0.2034389140271493,1.1688206956558647,0.02914027149321267,0.00024009603841536616,exact
4,3,16,0.18758518792132237,0.22009049773755657,1.1732829237555136,0.03203250530981623,0.0004728045064179518,exact
4,3,17,0.20332071290054482,0.24180995475113123,1.1893031029721677,0.03819373903407517,0.00029550281651121986,exact
4,3,18,0.21009142118385815,0.25122171945701355,1.1957733354431492,0.04070920675962693,0.00041739772832209807,exact
4,3,19,0.21868685935912827,0.26497737556561085,1.2116748868319709,0.045995013389971376,0.00029550281651121986,exact
4,3,20,0.21831748083848923,0.26642533936651586,1.2203573362208988,0.04763505402160864,0.0004728045064179518,exact
4,3,21,0.2578446763320713,0.3207239819004525,1.2438650526466586,0.05442053744574753,0.008455074337427279,exact
4,3,22,0.22444916428109704,0.27945701357466063,1.245079323283523,0.046320066488133714,0.008687782805429865,exact
4,3,23,0.19968602825745682,0.2504977375565611,1.254458009618942,0.04236032874688337,0.008451380552220888,exact
4,3,24,0.17005078954658787,0.21357466063348415,1.255946304059778,0.03494690183765814,0.008573275464031766,exact
4,3,25,0.14866746698679473,0.18823529411764706,1.2661498708010337,0.031175547141933695,0.008392279988918644,exact
4,3,26,0.12241204173977283,0.15493212669683257,1.2656608328304164,0.02395050327823437,0.008569581678825376,exact
4,3,27,0.10478899252008496,0.1339366515837104,1.278155733370933,0.020866192630898513,0.008277772647520547,exact
4,3,28,0.08191338073691015,0.10425339366515837,1.2727272727272727,0.01382953181272509,0.008510481115523133,exact
4,3,29,0.06767014498106935,0.08687782805429864,1.2838427947598254,0.010933604210915136,0.008274078862314157,exact
4,3,30,0.08118939883645766,0.10135746606334842,1.2484076433121019,0.0067226890756302525,0.0067226890756302525,exact
4,3,31,0,0,,0,0,exact
4,3,32,0,0,,0,0,exact
4,3,33,0,0,,0,0,exact
4,3,34,0,0,,0,0,exact
4,3,35,0,0,,0,0,exact
4,3,36,0,0,,0,0,exact
4,3,37,0,0,,0,0,exact
4,3,38,0,0,,0,0,exact
4,3,39,0,0,,0,0,exact
4,3,40,0,0,,0,0,exact
4,3,41,0,0,,0,0,exact
4,3,42,0,0,,0,0,exact
4,3,43,0,0,,0,0,exact
4,3,44,0,0,,0,0,exact
4,3,45,0,0,,0,0,exact
4,3,46,0,0,,0,0,exact
4,3,47,0,0,,0,0,exact
4,3,48,0,0,,0,0,exact
4,3,49,0,0,,0,0,exact
4,3,50,0,0,,0,0,exact
