hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
12,3,2,0,0,,0,0,exact
12,3,3,0.034333733493397356,0.039819004524886875,1.1597633136094674,0.001828423677163173,0.001828423677163173,exact
12,3,4,0.13775393598697575,0.23891402714932128,1.7343535445107714,0.05531193050763321,0.024396178452879766,exact
12,3,5,0.25297679901700165,0.47782805429864256,1.888821647500289,0.10296321218902048,0.06312488682170811,exact
12,3,6,0.3807857992803621,0.9158371040723982,2.4051241033757473,0.22345956967038744,0.1156530875148551,exact
12,3,7,0.5102496875104039,1.353846153846154,2.65330128951534,0.3100040941599398,0.1989854691939691,exact
12,3,8,0.6236003602194091,1.990950226244344,3.1926701029227162,0.4424964777785438,0.2959964020270663,exact
12,3,9,0.7198797095951747,2.6678733031674207,3.705998748968356,0.5550738957407684,0.3978223705997804,exact
12,3,10,0.8033354311868607,3.5040723981900452,4.361904457535344,0.6628368307510875,0.5211075890616547,exact
12,3,11,0.8661777608150755,4.380090497737557,5.056803228953697,0.7545999434095573,0.628190970500583,exact
12,3,12,0.9140699487126112,6.171945701357466,6.752159077158286,0.841235809667583,0.7449475797643085,exact
12,3,13,0.9413405274993075,8.202714932126696,8.713865697376693,0.8917519706020269,0.8221179834423855,exact
12,3,14,0.9624601202053062,9.55656108597285,9.92930604120439,0.9294509942303916,0.8808733622270439,exact
12,3,15,0.9720110041519862,11.189140271493212,11.51133086322925,0.9500892788179763,0.9133706751795163,exact
12,3,16,0.9799629885717968,12.10497737556561,12.352484243519717,0.9646028293772467,0.9394119517851098,exact
12,3,17,0.9827862405271967,13.299547511312218,13.532492583715797,0.9712552407433905,0.9532085826175337,exact
12,3,18,0.9850795623667062,13.817194570135747,14.026475726426806,0.9757773197587056,0.9620938676603146,exact
12,3,19,0.9844591993860109,14.573755656108597,14.803818853232293,0.9765288357473997,0.9682214291218929,exact
12,3,20,0.9823859218071606,14.65339366515837,14.916127501300643,0.9776960143465306,0.9722198411316715,exact
12,3,21,0.9934274717784491,17.639819004524888,17.756524261349256,0.9915080639944664,0.989141978892247,exact
12,3,22,0.9871514630058497,15.370135746606335,15.570189907640602,0.9824583567764568,0.9779131606727056,exact
12,3,23,0.9742877692862904,13.77737556561086,14.14097148700061,0.9667389972085542,0.9578364993485942,exact
12,3,24,0.9534847095667496,11.746606334841628,12.319658844009282,0.9392885973652765,0.922072052159106,exact
12,3,25,0.9219456146748833,10.352941176470589,11.229448908568722,0.901052782849293,0.8767373783420933,exact
12,3,26,0.8757361727899805,8.521266968325792,9.730404239416256,0.8375996681097546,0.8076152449066296,exact
12,3,27,0.8087340789245286,7.366515837104072,9.108699669117712,0.7658764525065427,0.7277252472123068,exact
12,3,28,0.7193852411714706,5.7339366515837105,7.970606461492565,0.6613583353787648,0.6231485812196821,exact
12,3,29,0.6208782960923721,4.778280542986425,7.696001894509015,0.5556420198369572,0.5189466144432863,exact
12,3,30,0.799558561663774,5.574660633484163,6.972173022428829,0.5441055704978052,0.5441055704978052,exact
12,3,31,0,0,,0,0,exact
12,3,32,0,0,,0,0,exact
12,3,33,0,0,,0,0,exact
12,3,34,0,0,,0,0,exact
12,3,35,0,0,,0,0,exact
12,3,36,0,0,,0,0,exact
12,3,37,0,0,,0,0,exact
12,3,38,0,0,,0,0,exact
12,3,39,0,0,,0,0,exact
12,3,40,0,0,,0,0,exact
12,3,41,0,0,,0,0,exact
12,3,42,0,0,,0,0,exact
12,3,43,0,0,,0,0,exact
12,3,44,0,0,,0,0,exact
12,3,45,0,0,,0,0,exact
12,3,46,0,0,,0,0,exact
12,3,47,0,0,,0,0,exact
12,3,48,0,0,,0,0,exact
12,3,49,0,0,,0,0,exact
12,3,50,0,0,,0,0,exact
