hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
4,4,2,0,0,,0,0,exact
4,4,3,0,0,,0,0,exact
4,4,4,0.0000036937852063902484,0.0000036937852063902484,1,0,0,exact
4,4,5,0.000059100563302243975,0.000059100563302243975,1,0,0,exact
4,4,6,0.00019207683073229291,0.00019207683073229291,1,0,0,exact
4,4,7,0.0004728045064179518,0.0004728045064179518,1,0,0,exact
4,4,8,0.0009049773755656109,0.0009049773755656109,1,0,0,exact
4,4,9,0.0015366146458583433,0.0015366146458583433,1,0,0,exact
4,4,10,0.002452673377043125,0.002452673377043125,1,0,0,exact
4,4,11,0.0036051343614368824,0.0036051343614368824,1,0,0,exact
4,4,12,0.005115892510850494,0.005115892510850494,1,0,0,exact
4,4,13,0.007151168159571521,0.007151168159571521,1,0,0,exact
4,4,14,0.010268722873764891,0.010268722873764891,1,0,0,exact
4,4,15,0.013652230122818357,0.013652230122818357,1,0,0,exact
4,4,16,0.01813279157816973,0.01813279157816973,1,0,0,exact
4,4,17,0.022399113491550465,0.022399113491550465,1,0,0,exact
4,4,18,0.027540862498845693,0.027540862498845693,1,0,0,exact
4,4,19,0.03244620925293194,0.03244620925293194,1,0,0,exact
4,4,20,0.03776895373534029,0.03776895373534029,1,0,0,exact
4,4,21,0.0426115061409179,0.0426115061409179,1,0,0,exact
4,4,22,0.04934897035737372,0.04934897035737372,1,0,0,exact
4,4,23,0.05502262443438914,0.05502262443438914,1,0,0,exact
4,4,24,0.05838027518699788,0.05838027518699788,1,0,0,exact
4,4,25,0.06116908301782251,0.06116908301782251,1,0,0,exact
4,4,26,0.0616271123834149,0.0616271123834149,1,0,0,exact
4,4,27,0.06176008865084495,0.06176008865084495,1,0,0,exact
4,4,28,0.060020315818635143,0.060020315818635143,1,0,0,exact
4,4,29,0.05797765259950134,0.05797765259950134,1,0,0,exact
4,4,30,0.05428386739311109,0.05428386739311109,1,0,0,exact
4,4,31,0.05401791485825099,0.05401791485825099,1,0,0,exact
4,4,32,0.04493489703573737,0.04493489703573737,1,0,0,exact
4,4,33,0.03806076276664512,0.03806076276664512,1,0,0,exact
4,4,34,0.03074706805799243,0.03074706805799243,1,0,0,exact
4,4,35,0.025354141656662665,0.025354141656662665,1,0,0,exact
4,4,36,0.019447779111644657,0.019447779111644657,1,0,0,exact
4,4,37,0.015602548711792409,0.015602548711792409,1,0,0,exact
4,4,38,0.010933604210915136,0.010933604210915136,1,0,0,exact
4,4,39,0.008274078862314157,0.008274078862314157,1,0,0,exact
4,4,40,0.0067226890756302525,0.0067226890756302525,1,0,0,exact
4,4,41,0,0,,0,0,exact
4,4,42,0,0,,0,0,exact
4,4,43,0,0,,0,0,exact
4,4,44,0,0,,0,0,exact
4,4,45,0,0,,0,0,exact
4,4,46,0,0,,0,0,exact
4,4,47,0,0,,0,0,exact
4,4,48,0,0,,0,0,exact
4,4,49,0,0,,0,0,exact
4,4,50,0,0,,0,0,exact
