hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
8,2,2,0.10720103425985779,0.12669683257918551,1.1818620356970575,0.00936005171299289,0.00936005171299289,exact
8,2,3,0.23264307464013617,0.3378582202111614,1.4522599511452348,0.08255788361028607,0.01328779544266294,exact
8,2,4,0.32289031061083084,0.4645550527903469,1.438739527090548,0.10335999709782155,0.026414125317101862,exact
8,2,5,0.4265113230472103,0.6757164404223228,1.5842872250018274,0.182899785213547,0.043071679488940195,exact
8,2,6,0.5012967993715668,0.8024132730015083,1.6006750372382703,0.21266607413856692,0.060539875619594834,exact
8,2,7,0.585250136488097,1.0135746606334841,1.731865739862324,0.29546985093048106,0.08974354190548346,exact
8,2,8,0.6460332343283859,1.1402714932126696,1.7650353458953119,0.3318204013975903,0.11203121994546057,exact
8,2,9,0.7124178196148594,1.3514328808446456,1.8969667007701245,0.41497348672622114,0.15343401261450998,exact
8,2,10,0.7606252626527971,1.4781297134238311,1.9433087303314478,0.4556263572816873,0.18092081577525337,exact
8,2,11,0.8845037929306309,2.7028657616892913,3.0557989499783518,0.7340888804109134,0.5299122708928444,exact
8,2,12,0.8506555621133626,2.4917043740573153,2.9291577990355373,0.6785327056176488,0.47540853443775577,exact
8,2,13,0.8174592969140502,2.3650075414781297,2.893119633486526,0.6490284260007283,0.44250813197975414,exact
8,2,14,0.7717029442294719,2.1538461538461537,2.79103011068167,0.5890562890399643,0.394455805330268,exact
8,2,15,0.7285701568751033,2.0271493212669682,2.782366670028837,0.5613274569535113,0.3646766957927648,exact
8,2,16,0.6690244753704513,1.8159879336349924,2.7143819105114892,0.49920088835363363,0.32407591429085686,exact
8,2,17,0.614626414620973,1.689291101055807,2.7484843815206945,0.4752355279263915,0.2973323717873971,exact
8,2,18,0.5393557682092264,1.4781297134238311,2.7405467792279854,0.41337934561855766,0.26501998337227156,exact
8,2,19,0.4723310253440307,1.3514328808446456,2.861198626239522,0.3952634534209329,0.2411283095747372,exact
8,2,20,0.7823057608441513,2.5339366515837103,3.2390617306070357,0.47171015848166636,0.47171015848166636,exact
8,2,21,0,0,,0,0,exact
8,2,22,0,0,,0,0,exact
8,2,23,0,0,,0,0,exact
8,2,24,0,0,,0,0,exact
8,2,25,0,0,,0,0,exact
8,2,26,0,0,,0,0,exact
8,2,27,0,0,,0,0,exact
8,2,28,0,0,,0,0,exact
8,2,29,0,0,,0,0,exact
8,2,30,0,0,,0,0,exact
8,2,31,0,0,,0,0,exact
8,2,32,0,0,,0,0,exact
8,2,33,0,0,,0,0,exact
8,2,34,0,0,,0,0,exact
8,2,35,0,0,,0,0,exact
8,2,36,0,0,,0,0,exact
8,2,37,0,0,,0,0,exact
8,2,38,0,0,,0,0,exact
8,2,39,0,0,,0,0,exact
8,2,40,0,0,,0,0,exact
8,2,41,0,0,,0,0,exact
8,2,42,0,0,,0,0,exact
8,2,43,0,0,,0,0,exact
8,2,44,0,0,,0,0,exact
8,2,45,0,0,,0,0,exact
8,2,46,0,0,,0,0,exact
8,2,47,0,0,,0,0,exact
8,2,48,0,0,,0,0,exact
8,2,49,0,0,,0,0,exact
8,2,50,0,0,,0,0,exact
