hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
12,2,2,0.22448979591836735,0.2986425339366516,1.330316742081448,0.034333733493397356,0.034333733493397356,exact
12,2,3,0.4270436759347587,0.7963800904977375,1.864868010876255,0.2346789964829595,0.06979498552427446,exact
12,2,4,0.5701992733321785,1.0950226244343892,1.920420939920186,0.3000571318193943,0.1291407789963671,exact
12,2,5,0.6934432790968705,1.592760180995475,2.296886030923626,0.46998932552945366,0.22185818736673454,exact
12,2,6,0.7797331968657383,1.8914027149321266,2.4257050008065852,0.5406374329018344,0.29679761405935084,exact
12,2,7,0.849795911350174,2.3891402714932126,2.811428296586289,0.6702846116819058,0.4142799112067242,exact
12,2,8,0.898140398846859,2.6877828054298645,2.9926087378774677,0.7311391172232997,0.49355817633569693,exact
12,2,9,0.9345376199743122,3.18552036199095,3.4086593133388376,0.8197344199877726,0.6093723041040543,exact
12,2,10,0.9590742726316664,3.484162895927602,3.6328394946589277,0.8640352511640107,0.6820579096376003,exact
12,2,11,0.986893017375014,6.3710407239819,6.455654880331309,0.961234923748766,0.9045933803637547,exact
12,2,12,0.9776109615097859,5.873303167420814,6.007812308436379,0.9352112548107935,0.8630678470851446,exact
12,2,13,0.9636452075873727,5.574660633484163,5.784972093039454,0.9147947064986155,0.8298768860930199,exact
12,2,14,0.9427616349462571,5.076923076923077,5.38516088132128,0.8704196313983718,0.7781902799496111,exact
12,2,15,0.9143946674237285,4.778280542986425,5.2256216196547225,0.8428424524815575,0.7390048439283995,exact
12,2,16,0.8730077358129583,4.280542986425339,4.903213122664064,0.7769261361381875,0.6851757544931449,exact
12,2,17,0.8209243021020995,3.981900452488688,4.850508679414698,0.7468113077875327,0.6433582241111709,exact
12,2,18,0.7461296540162888,3.484162895927602,4.669648066087371,0.6598617401870044,0.6001030616102768,exact
12,2,19,0.6574541016462414,3.18552036199095,4.845236122209172,0.6374483102612475,0.5591647787547496,exact
12,2,20,0.9473563636955131,5.972850678733032,6.304755958395343,0.799558561663774,0.799558561663774,exact
12,2,21,0,0,,0,0,exact
12,2,22,0,0,,0,0,exact
12,2,23,0,0,,0,0,exact
12,2,24,0,0,,0,0,exact
12,2,25,0,0,,0,0,exact
12,2,26,0,0,,0,0,exact
12,2,27,0,0,,0,0,exact
12,2,28,0,0,,0,0,exact
12,2,29,0,0,,0,0,exact
12,2,30,0,0,,0,0,exact
12,2,31,0,0,,0,0,exact
12,2,32,0,0,,0,0,exact
12,2,33,0,0,,0,0,exact
12,2,34,0,0,,0,0,exact
12,2,35,0,0,,0,0,exact
12,2,36,0,0,,0,0,exact
12,2,37,0,0,,0,0,exact
12,2,38,0,0,,0,0,exact
12,2,39,0,0,,0,0,exact
12,2,40,0,0,,0,0,exact
12,2,41,0,0,,0,0,exact
12,2,42,0,0,,0,0,exact
12,2,43,0,0,,0,0,exact
12,2,44,0,0,,0,0,exact
12,2,45,0,0,,0,0,exact
12,2,46,0,0,,0,0,exact
12,2,47,0,0,,0,0,exact
12,2,48,0,0,,0,0,exact
12,2,49,0,0,,0,0,exact
12,2,50,0,0,,0,0,exact
