hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
7,2,2,0.08274078862314156,0.09502262443438914,1.1484375,0.0059469941822883,0.0059469941822883,exact
7,2,3,0.18572385333554187,0.25339366515837103,1.3643571388785054,0.05584243802124849,0.007136907278388478,exact
7,2,4,0.25913369973336237,0.34841628959276016,1.3445425660624837,0.06881924192148929,0.014760985871613286,exact
7,2,5,0.34928431203122395,0.5067873303167421,1.450930697028953,0.12467866247046744,0.022126918083820734,exact
7,2,6,0.4138071538300085,0.6018099547511312,1.454324675591167,0.14387394180613966,0.03172659087117377,exact
7,2,7,0.4918141824437738,0.7601809954751131,1.545667088528949,0.2045186081263787,0.045551743788670385,exact
7,2,8,0.5478939572698075,0.8552036199095022,1.560892593470166,0.22912102861496125,0.05742552055334338,exact
7,2,9,0.614446270929919,1.0135746606334841,1.6495741101976482,0.2933722097677041,0.07799309576531104,exact
7,2,10,0.662526916409487,1.1085972850678734,1.6732864093670787,0.3225704371266759,0.0924394862904957,exact
7,2,11,0.817635996261452,2.0271493212669682,2.4792809153900746,0.611526472113075,0.36121788642874786,exact
7,2,12,0.7774156898225026,1.8687782805429864,2.4038340169975996,0.5569586804336764,0.32074918062293584,exact
7,2,13,0.7416135314867426,1.7737556561085972,2.3917520120657425,0.5307862132969604,0.298098913656404,exact
7,2,14,0.6922347391956142,1.6153846153846154,2.333579238253361,0.4764877501559223,0.2641276990409058,exact
7,2,15,0.6494897169000668,1.5203619909502262,2.3408561388881166,0.4533037295185633,0.24411893270792984,exact
7,2,16,0.5902635700263169,1.3619909502262444,2.3074284427980536,0.4004533258546427,0.21636200769356345,exact
7,2,17,0.5401317461446972,1.2669683257918551,2.3456653581928957,0.3810690859991616,0.1986962322109517,exact
7,2,18,0.4703693759578833,1.1085972850678734,2.3568653524908405,0.3308454727511157,0.17687039520853529,exact
7,2,19,0.41240681286390596,1.0135746606334841,2.457705908384116,0.31607234796003364,0.161249100793096,exact
7,2,20,0.70465686025353,1.9004524886877827,2.696989976091363,0.3665084221975989,0.3665084221975989,exact
7,2,21,0,0,,0,0,exact
7,2,22,0,0,,0,0,exact
7,2,23,0,0,,0,0,exact
7,2,24,0,0,,0,0,exact
7,2,25,0,0,,0,0,exact
7,2,26,0,0,,0,0,exact
7,2,27,0,0,,0,0,exact
7,2,28,0,0,,0,0,exact
7,2,29,0,0,,0,0,exact
7,2,30,0,0,,0,0,exact
7,2,31,0,0,,0,0,exact
7,2,32,0,0,,0,0,exact
7,2,33,0,0,,0,0,exact
7,2,34,0,0,,0,0,exact
7,2,35,0,0,,0,0,exact
7,2,36,0,0,,0,0,exact
7,2,37,0,0,,0,0,exact
7,2,38,0,0,,0,0,exact
7,2,39,0,0,,0,0,exact
7,2,40,0,0,,0,0,exact
7,2,41,0,0,,0,0,exact
7,2,42,0,0,,0,0,exact
7,2,43,0,0,,0,0,exact
7,2,44,0,0,,0,0,exact
7,2,45,0,0,,0,0,exact
7,2,46,0,0,,0,0,exact
7,2,47,0,0,,0,0,exact
7,2,48,0,0,,0,0,exact
7,2,49,0,0,,0,0,exact
7,2,50,0,0,,0,0,exact
