hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
5,2,2,0.04168436605411395,0.04524886877828054,1.0855117412494462,0.001754547973035368,0.001754547973035368,exact
5,2,3,0.1001785329516422,0.12066365007541478,1.2044860961745276,0.018644380829254778,0.001172776803028904,exact
5,2,4,0.14024994613229907,0.16591251885369532,1.1829774158856967,0.021876442884846248,0.0030381383322559794,exact
5,2,5,0.1962200264721273,0.24132730015082957,1.2298810905782323,0.040834795456644195,0.0029365592390802474,exact
5,2,6,0.23467848677932712,0.2865761689291101,1.221143756558237,0.045544371594791765,0.00491273432449903,exact
5,2,7,0.28812448056145534,0.36199095022624433,1.2563699881414057,0.06657124388216826,0.005291347308154031,exact
5,2,8,0.3249699879951981,0.4072398190045249,1.2531613196555937,0.07275833410287191,0.007378335949764521,exact
5,2,9,0.3758918952196263,0.48265460030165913,1.2840250253856988,0.09585372610582694,0.008237141010250254,exact
5,2,10,0.41112444977991197,0.5279034690799397,1.284047857923661,0.10351833040908671,0.010434943208052452,exact
5,2,11,0.5927417120694431,0.9653092006033183,1.6285494692673605,0.28512328008126325,0.06866746698679471,exact
5,2,12,0.5504386369932588,0.889894419306184,1.6167004993820637,0.2567088373811063,0.06441037953642996,exact
5,2,13,0.5191584326038108,0.8446455505279035,1.6269514226931263,0.24638470772924553,0.06099362822051898,exact
5,2,14,0.47433127096992644,0.7692307692307693,1.6217163326757347,0.2200387847446671,0.05721673284698495,exact
5,2,15,0.4414381137070213,0.7239819004524887,1.6400529949096994,0.21119216917536246,0.05391079508726568,exact
5,2,16,0.3940868655154369,0.6485671191553545,1.6457466003264936,0.18691476590636255,0.05061409179056238,exact
5,2,17,0.3595807553790747,0.6033182503770739,1.677837985909585,0.179545664419614,0.047418967587034816,exact
5,2,18,0.3097054206297904,0.5279034690799397,1.704534160256028,0.15733678086619263,0.04460245636716225,exact
5,2,19,0.2735863576199711,0.48265460030165913,1.7641764176417642,0.1514451934620002,0.04151814571982639,exact
5,2,20,0.49230769230769234,0.9049773755656109,1.838235294117647,0.16263736263736264,0.16263736263736264,exact
5,2,21,0,0,,0,0,exact
5,2,22,0,0,,0,0,exact
5,2,23,0,0,,0,0,exact
5,2,24,0,0,,0,0,exact
5,2,25,0,0,,0,0,exact
5,2,26,0,0,,0,0,exact
5,2,27,0,0,,0,0,exact
5,2,28,0,0,,0,0,exact
5,2,29,0,0,,0,0,exact
5,2,30,0,0,,0,0,exact
5,2,31,0,0,,0,0,exact
5,2,32,0,0,,0,0,exact
5,2,33,0,0,,0,0,exact
5,2,34,0,0,,0,0,exact
5,2,35,0,0,,0,0,exact
5,2,36,0,0,,0,0,exact
5,2,37,0,0,,0,0,exact
5,2,38,0,0,,0,0,exact
5,2,39,0,0,,0,0,exact
5,2,40,0,0,,0,0,exact
5,2,41,0,0,,0,0,exact
5,2,42,0,0,,0,0,exact
5,2,43,0,0,,0,0,exact
5,2,44,0,0,,0,0,exact
5,2,45,0,0,,0,0,exact
5,2,46,0,0,,0,0,exact
5,2,47,0,0,,0,0,exact
5,2,48,0,0,,0,0,exact
5,2,49,0,0,,0,0,exact
5,2,50,0,0,,0,0,exact
