hand_size,cards_played,total,probability,average_ways,decision_density,probability_at_least_2_ways,probability_at_least_3_ways,method
4,any_2_to_5,2,0.025712438821682518,0.027149321266968326,1.0558827754632956,0.0007129005448333179,0.0007129005448333179,exact
4,any_2_to_5,3,0.06461538461538462,0.07312217194570136,1.1316526610644257,0.008056145535137131,0.00025487117924092716,exact
4,any_2_to_5,4,0.09292824822236587,0.10389509650013852,1.1180141505684076,0.009312032505309816,0.0015107581494136115,exact
4,any_2_to_5,5,0.13380367531628035,0.15354326345922983,1.1475265017667844,0.0181438729337889,0.0013297626743004895,exact
4,any_2_to_5,6,0.16448425524055776,0.1887893618986056,1.147765551313721,0.02197802197802198,0.0019872564410379537,exact
4,any_2_to_5,7,0.207354326345923,0.24228275925754916,1.168448054724241,0.03253486009788531,0.0019946440114507343,exact
4,any_2_to_5,8,0.24093083387201034,0.281447963800905,1.1681691350075123,0.03691199556745775,0.0031951242035275647,exact
4,any_2_to_5,9,0.2855628405208237,0.3396361621571706,1.1893569959513122,0.051229107027426356,0.0022495151906916614,exact
4,any_2_to_5,10,0.32236771631729616,0.38290516206482594,1.1877900381561308,0.05591282666912919,0.004081632653061225,exact
4,any_2_to_5,11,0.4798522485917444,0.6624286637732016,1.380484650675863,0.16407793886785482,0.01530704589528119,exact
4,any_2_to_5,12,0.4745147289685105,0.6512697386646966,1.372496360819847,0.15759903961584634,0.016023640225320896,exact
4,any_2_to_5,13,0.48042847908394126,0.6630787699695263,1.3801820642145406,0.16489057161326068,0.014701265121433188,exact
4,any_2_to_5,14,0.47057715393849847,0.6455628405208237,1.371853340345534,0.15599963062147937,0.01604949672176563,exact
4,any_2_to_5,15,0.46982362175639486,0.6514802844214609,1.386648636324326,0.1658694246929541,0.012621664050235478,exact
4,any_2_to_5,16,0.4559534583063995,0.627363560808939,1.375937717720637,0.1530298273155416,0.015576692215347677,exact
4,any_2_to_5,17,0.4504940437713547,0.626200018468926,1.390029517874713,0.15942376950780313,0.013489703573737187,exact
4,any_2_to_5,18,0.4300674115800166,0.595504663403823,1.3846774886197715,0.14762581955859266,0.015137131775787238,exact
4,any_2_to_5,19,0.4183285621941084,0.5870163449995383,1.403242326846325,0.1531443346569397,0.012883922799889187,exact
4,any_2_to_5,20,0.5854981992797119,0.8471807184412227,1.446939921392476,0.1288244528580663,0.11268999907655369,exact
4,any_2_to_5,21,0.3004561824729892,0.3633354880413704,1.2092794531662998,0.05442053744574753,0.008455074337427279,exact
4,any_2_to_5,22,0.27379813463847075,0.32880598393203436,1.2009065889590416,0.046320066488133714,0.008687782805429865,exact
4,any_2_to_5,23,0.25470865269184595,0.30552036199095023,1.1994895295550787,0.04236032874688337,0.008451380552220888,exact
4,any_2_to_5,24,0.22843106473358574,0.271954935820482,1.1905339413343683,0.03494690183765814,0.008573275464031766,exact
4,any_2_to_5,25,0.20983655000461723,0.24940437713546956,1.1885649908463596,0.031175547141933695,0.008392279988918644,exact
4,any_2_to_5,26,0.18403915412318775,0.2165592390802475,1.1767019910083494,0.02395050327823437,0.008569581678825376,exact
4,any_2_to_5,27,0.1665490811709299,0.19569674023455536,1.175009425802302,0.020866192630898513,0.008277772647520547,exact
4,any_2_to_5,28,0.1419336965555453,0.16427370948379352,1.1573975276512687,0.01382953181272509,0.008510481115523133,exact
4,any_2_to_5,29,0.12564779758057068,0.1448554806538,1.1528692380056444,0.010933604210915136,0.008274078862314157,exact
4,any_2_to_5,30,0.13547326622956876,0.1556413334564595,1.1488711964227287,0.0067226890756302525,0.0067226890756302525,exact
4,any_2_to_5,31,0.05401791485825099,0.05401791485825099,1,0,0,exact
4,any_2_to_5,32,0.04493489703573737,0.04493489703573737,1,0,0,exact
4,any_2_to_5,33,0.03806076276664512,0.03806076276664512,1,0,0,exact
4,any_2_to_5,34,0.03074706805799243,0.03074706805799243,1,0,0,exact
4,any_2_to_5,35,0.025354141656662665,0.025354141656662665,1,0,0,exact
4,any_2_to_5,36,0.019447779111644657,0.019447779111644657,1,0,0,exact
4,any_2_to_5,37,0.015602548711792409,0.015602548711792409,1,0,0,exact
4,any_2_to_5,38,0.010933604210915136,0.010933604210915136,1,0,0,exact
4,any_2_to_5,39,0.008274078862314157,0.008274078862314157,1,0,0,exact
4,any_2_to_5,40,0.0067226890756302525,0.0067226890756302525,1,0,0,exact
4,any_2_to_5,41,0,0,,0,0,exact
4,any_2_to_5,42,0,0,,0,0,exact
4,any_2_to_5,43,0,0,,0,0,exact
4,any_2_to_5,44,0,0,,0,0,exact
4,any_2_to_5,45,0,0,,0,0,exact
4,any_2_to_5,46,0,0,,0,0,exact
4,any_2_to_5,47,0,0,,0,0,exact
4,any_2_to_5,48,0,0,,0,0,exact
4,any_2_to_5,49,0,0,,0,0,exact
4,any_2_to_5,50,0,0,,0,0,exact
