hand_size,total,method,ability_probability,can_play_2_cards_probability,can_play_3_cards_probability,can_play_4_cards_probability,can_play_5_cards_probability,highest_available_tier_0_probability,highest_available_tier_2_probability,highest_available_tier_3_probability,highest_available_tier_4_probability,highest_available_tier_5_probability,probability_can_play_at_least_4_cards,five_card_option_given_ability,four_or_five_card_option_given_ability,mean_minimum_cards_given_ability,mean_maximum_cards_given_ability,both_two_and_five_available_probability
10,2,exact,0.16250808015513898,0.16250808015513898,0,0,0,0.837491919844861,0.16250808015513898,0,0,0,0,0,0,2,2,0
10,3,exact,0.34008737630112174,0.3299520363186903,0.019392372333548805,0,0,0.6599126236988783,0.32069500396757294,0.019392372333548805,0,0,0,0,0,2.0298021646456452,2.057021735250703,0
10,4,exact,0.48311004292507964,0.45053550796649794,0.08515440047790268,0.0007756948933419521,0,0.5168899570749204,0.39750943251084353,0.08482491552089419,0.0007756948933419521,0,0.0007756948933419521,0,0.0016056277543835833,2.067928960257194,2.178792195634346,0
10,5,exact,0.6137794244160771,0.5708873917261298,0.16160101542499408,0.009257032351117349,0,0.38622057558392286,0.4481299883875905,0.15639240367736934,0.009257032351117349,0,0.009257032351117349,0,0.015082018039174389,2.0732466780018344,2.284966327351235,0
10,6,exact,0.7125533826774382,0.6574384683211313,0.25749820097304504,0.028149997231799433,0.0003294849570084919,0.2874466173225618,0.4472104512365911,0.23702656075958903,0.027986885724249542,0.0003294849570084919,0.028316370681258033,0.00046240038293052997,0.039739297250766706,2.0821909401955407,2.412584929390754,0.00021924087800163938
10,7,exact,0.8009582710992841,0.7405192163479507,0.3601602435473389,0.05806952222226117,0.002154881909529719,0.19904172890071592,0.429231290266634,0.3129436906766,0.05662840824652037,0.002154881909529719,0.05878329015605009,0.0026903797454669236,0.07339120186045686,2.0807497599058506,2.5401843872645373,0.001526130154053582
10,8,exact,0.8657233399608537,0.8000696160754677,0.463022322477835,0.10292439577567221,0.006161695749919655,0.13427666003914626,0.3857857326339795,0.37544238614319897,0.09833352543375562,0.006161695749919655,0.10449522118367527,0.007117395899477857,0.12070278847789911,2.08058055274612,2.682197761108271,0.004926029500098957
10,9,exact,0.9111883737684948,0.8544852187337549,0.5583310335791635,0.15824469755457807,0.01465355139639603,0.08881162623150522,0.3346697055815253,0.41519044197771776,0.14667467481285562,0.01465355139639603,0.16132822620925166,0.016081802422249793,0.17705255121071184,2.065929419645563,2.8258450913727358,0.012475627423533742
10,10,exact,0.9464672473175265,0.8932310200976418,0.6524899348099734,0.22396246925594152,0.027684022344688926,0.053532752682473456,0.2752698602379257,0.443202147132996,0.20031121760191592,0.027684022344688926,0.22799523994660484,0.029249847179763342,0.24089078686324117,2.0591659707371353,2.9793013461351623,0.024377265333921216
10,11,exact,0.9727640982081884,0.9582534247220008,0.7329537412048286,0.2985595590952894,0.04731359254518259,0.027235901791811543,0.223062946107171,0.44627241297611614,0.2561151465797187,0.04731359254518259,0.30342873912490126,0.04863830052150697,0.3119242781305465,2.0152440697310086,3.131254212401646,0.04720308272701241
10,12,exact,0.9790945189842446,0.9385123272586241,0.8079683727563851,0.3793609929125633,0.0736587266741871,0.02090548101575536,0.1601594697179294,0.4341785421109804,0.3110977804811477,0.0736587266741871,0.3847565071553348,0.07523147688601493,0.39297177105484976,2.041826340225771,3.304624076969623,0.0713692888391798
10,13,exact,0.9809644157422156,0.9147748471651834,0.8537989810991579,0.46025049208173713,0.10834291061534165,0.019035584257784403,0.11291189742565388,0.4023955729443251,0.35731403475689494,0.10834291061534165,0.46565694537223656,0.11044530145710477,0.47469300404736087,2.069486216228184,3.4700353561887938,0.09996939663345218
10,14,exact,0.985296240336603,0.8812175606138232,0.8940682666034503,0.5417995983320941,0.1497732009161235,0.014703759663397027,0.0777599949843819,0.3605785980269504,0.39718444640914713,0.1497732009161235,0.5469576473252706,0.15200829434298568,0.5551199983655835,2.109107305824674,3.628207870808027,0.12768347367296257
10,15,exact,0.9858067429684377,0.8434815865281905,0.9138415923360704,0.6172042979337486,0.1992091015901112,0.014193257031562243,0.05527635721912946,0.30828553801038366,0.4230357461488134,0.1992091015901112,0.6222448477389246,0.20207723573715627,0.631203683863265,2.1493523575896387,3.7772087151715055,0.15935403416215504
10,16,exact,0.9895407505261076,0.79059094512562,0.9324400217637594,0.6840040267650108,0.2550365732625914,0.010459249473892398,0.0367302011627388,0.26310651463718177,0.43466746146359564,0.2550365732625914,0.689704034726187,0.2577322592596581,0.6969940695817662,2.2092671657717204,3.9176078967372283,0.18162718615610313
